"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","states"
56.7,58.9,68.2,69.7,54.2,28.7,3.39,40.6,30.8,19.5,78.5,109.3,62.3,53.8,25.5,34.2,30.6,35.4,51,31.4,53.4,52,17.5,1
29.2,86.3,99.5,15.9,28.7,26.6,3.02,60.3,23.3,15.4,65.4,83.1,82.4,72.5,44.3,53,39.4,57.8,20,25.1,41.6,NA,11.9,2
54.1,74.7,73,73.1,57.3,32.9,3.99,49.7,34.8,16.4,73.3,98.7,72.7,63.3,16.7,30.3,19.5,53.5,37.5,38.5,37.9,46.7,5.9,3
42.6,87.6,57.6,87.4,24.2,28.2,2.97,58.4,45.8,14.9,55.8,69.1,76,47.4,16,25.6,44.9,62.9,36.4,39.9,47,NA,NA,4
48.2,79.6,57.3,80.9,20.5,27.9,3.13,49.4,29.7,17.5,45.4,59.1,79.5,68.9,21.9,31.2,44.4,65.7,16.9,44.8,44.5,40.8,14.8,5
48,77.8,98.6,63.3,14.9,25,2.92,58.7,34,13,53.7,68,87.9,82.7,24.8,48.3,32.7,61.9,3.3,37.3,45.9,40,19.9,6
74.6,40.6,57.3,80.2,69.5,27,3.63,31.8,27.7,19.8,72.6,102.6,31.2,28.3,11.6,21.8,22.7,21.1,65.9,9.4,41.6,43.1,19.5,7
65.7,54.8,55.8,78.7,73.3,31.6,3.9,36.5,31.5,20.5,85.2,130.3,52.1,42.8,15.9,30,33,29.2,31.4,27.7,57.4,NA,NA,8
68.5,48.2,74.3,77.1,63.9,35.9,4.82,19.8,13.1,30.1,99.9,141.3,44.7,37.4,11.2,17.2,22.7,19.8,60.3,19.4,59,59.5,16.1,9
71.4,38.3,63.6,83.5,69.1,32.1,4,23.1,18.6,25.1,89.2,127.5,36.8,30.7,12.1,19,23,10.7,51.6,18.1,62.6,60.9,21.8,10
58.6,62,50.9,87.8,45.5,26.5,2.92,36.3,31.6,22.4,112.1,131,61.6,53.8,14.1,20.5,41.1,36.1,45.7,30.2,53.3,48.2,21.3,11
44.8,62.9,84.9,59.6,56.4,25.5,2.92,57.4,30.6,17.4,75.3,99.3,75.3,70.4,31.5,33,74.7,34.2,40,NA,56.8,NA,NA,12
57.9,65.3,75.8,26.4,43.9,34.6,4.25,23.6,10.7,20.4,40,72,48.9,31.9,19.9,21.3,33.3,22.5,73.9,35.8,39.7,53.9,11.2,13
49.3,66,43.2,50.4,44.4,30.4,3.53,42.8,14.4,21.7,88.7,142.2,34.9,11,1,17.9,35.2,19.4,65,39.2,50.4,52.2,10.8,14
37,86.8,47,16.9,14.3,24.4,2.76,34.9,13.8,21.7,42.4,61.7,63.4,48,23,40.4,63.1,29.1,70.4,50,30.1,33.6,8.8,15
39.8,75.7,47.6,45.7,28.1,31.9,3.73,20.7,10,25.1,64.2,86.9,51.8,30,29.6,36.9,40.7,9.7,18,56.3,45.5,50.8,18.9,16
11.1,88.5,40.1,1.7,13.3,20.8,2.3,53.8,44.6,11.9,14.6,29.3,88.9,42.5,48.9,61.5,24.5,56.4,45.5,64.3,28.1,41.3,2.2,17
28.2,89,72.1,20.7,16.4,31.3,3.26,13,6.4,26.7,17.2,20.7,33,6,22.2,24.6,3.8,61.1,43.5,28.7,32.4,12,7,18
35.6,76.7,44.1,20.6,41.1,23.1,2.67,56.1,19.1,13.5,75.8,104.6,64.9,58.7,30.7,33.5,NA,19,47.9,65,48.8,46,17.5,19
26.9,92.5,56.5,52,7.2,17.2,1.9,47.8,30.5,15.7,31.9,38.9,95.4,83.4,86.8,88.4,41.4,74.9,10.8,33.9,35,32.5,15.3,20
48.7,68.4,75.1,64.2,33.4,27.2,2.99,49.3,41,13.1,68.7,104,7,62.7,35.6,42.5,20.7,49.8,36.3,22.9,50.1,48.2,18.9,21
44.1,76.6,78.5,59.2,53.9,26.3,2.86,53.7,46.1,14.1,50.5,70.3,71,43.9,53.2,41.7,64.1,37,1,25,54.2,48.5,20.2,22
61.5,54.8,63.4,75.6,68.6,24.2,2.59,47,44.8,10.4,70.4,91.2,86.3,74.8,32.8,49.3,32.5,45,70.5,47.8,49.1,NA,NA,23
53.5,64.4,75.6,68.8,51.2,25.9,2.85,49.1,42.5,18.2,65.4,87.3,83.5,69.8,37.5,50.9,34,52.2,65.6,38.2,54.3,47.6,17.4,24
0.6,94.8,21,29.1,19.3,19.6,2,63.3,48.3,11.7,23.8,32,97.3,89.8,87.8,89.7,37.8,54.4,59.2,69.3,28.5,27.4,11.6,25
43.9,78.7,74.6,70.6,36.1,23.5,2.48,49.8,39.5,14.6,67.7,86.5,94.2,90.1,63.4,71.2,27.1,64.9,55.8,56.5,48.2,NA,NA,26
